City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,ribeira grande,38.5167,-28.7,17.22,94,40,5.36,PT,1712609300
83,nalchiti,22.6333,90.2833,25.57,38,100,2.31,BD,1712609300
84,mejit,10.2753,170.8646,26.79,85,100,10.8,MH,1712609300
85,aripuana,-9.1667,-60.6333,25.63,94,100,0.97,BR,1712609029
86,klyuchi,52.2667,79.1667,10.72,84,100,5.55,RU,1712609301
87,san diego de la union,21.4667,-100.8667,30.1,7,5,9.55,MX,1712609175
88,arraial do cabo,-22.9661,-42.0278,25.98,83,0,4.63,BR,1712609301
89,bereznik,62.8551,42.7072,-1.06,98,100,1.1,RU,1712609040
90,hamilton,39.1834,-84.5333,26.16,44,58,3.58,US,1712609300
91,yangjiang,21.85,111.9667,22.89,83,81,3.87,CN,1712609301
92,dwarka,22.2394,68.9678,25.55,76,2,7.25,IN,1712609302
93,porto novo,6.4965,2.6036,27.9,79,100,2.97,BJ,1712609036
94,mugia,43.1041,-9.2179,11.06,63,6,8.47,ES,1712608864
95,kalix,65.853,23.1565,0.47,99,100,2.85,SE,1712609302
96,ardakan,32.31,54.0175,21.42,27,1,3.14,IR,1712609302
97,gillette,44.2911,-105.5022,2.59,94,100,6.69,US,1712609178
98,ibarreta,-25.2144,-59.8585,28.06,69,81,1.02,AR,1712609303
99,amalapuram,16.5833,82.0167,25.24,95,3,1.8,IN,1712609303
100,buulobarde,3.8538,45.5674,28.05,71,98,5.77,SO,1712609303
101,san juan de betulia,9.2735,-75.241,33.89,53,90,5.88,CO,1712609303
102,puerto ayora,-0.7393,-90.3518,31.98,79,30,3.68,EC,1712608827
103,weno,7.4515,151.8468,27.97,94,75,3.09,FM,1712609304
104,cabo san lucas,22.8909,-109.9124,24.61,66,75,1.54,MX,1712608656
105,atafu village,-8.5421,-172.5159,29.6,76,96,5.28,TK,1712609304
106,saipan,15.1355,145.701,27.39,78,40,6.17,MP,1712609304
107,guiyang,26.5833,106.7167,13.27,88,100,1.0,CN,1712609304
